user_a,user_b,rssi,#timestamp
Igor Voronin,-1,0,501000
Grace Ramirez,-1,0,60900
Kwame Osagie,-1,0,1223100
Ji-yeon Park,-1,0,327900
Emma Guzman,Hassan Ibrahim,-71,1140600
Ranjana Sharma,-1,-79,1998600
Valentina Escobar,-1,-87,1215300
Henry Hughes,-1,0,816000
Amara Sesay,-1,-64,883500
Ravi Gupta,Dominic Hernandez,-94,600900
Yara Ndlovu,Aria Peterson,-78,296400
Jabari Mbeki,Jack Morgan,-75,1930800
Idris Adekunle,Dominic Hernandez,-90,144900
Ahmed Sharif,-1,-78,585000
Baraka Soumahoro,Priya Patel,-96,994500
Rima Hassan,-1,0,2005200
Isabella Ferreira,Akira Tanaka,-94,2044800
Jackson Carter,-1,0,177300
Addison Gonzalez,-1,-96,66900
Viktor Popov,Martina Oliveira,-75,146400
Zara Al-Masri,Jin Chen,-97,1074600
Zuri Okoro,-1,0,1365000
Layla Al-Aziz,-1,-90,1375500
Dmitri Sidorov,Tariq Asante,-67,139800
Elena Petrova,-1,-95,834300
Viktor Sokolov,Ji-woo Park,-70,586800
Amira Ojo,-1,0,110700
Rajesh Gupta,Sakura Suzuki,-75,1437300
Leah Watson,-1,0,516000
Aleksandr Gusev,Sara Hassan,-88,2024400
Arisa Sato,-1,0,2396400
Khadija Kamara,-1,0,1163400
Omar Al-Khouri,-1,0,1466400
Daniel Cardoso,Arjun Gupta,-89,1429800
Amelia Murphy,Charlotte Bell,-99,69900
Nicolas Ribeiro,Rajan Patel,-97,1344000
Jack Morgan,Olivia Smith,-97,2125500
William Cox,-1,0,1826400
Aisha Rahman,-1,0,317400
Zara Al-Masri,-1,-87,1867200
Zoey Morgan,-1,0,1849800
Layla Al-Hamadi,Luna Howard,-96,2198400
Akira Tanaka,Violet Kelly,-84,220200
Fatima Al-Said,Ayako Suzuki,-85,829200
Chika Osagie,-1,-81,997500
Igor Voronin,Valentina Torres,-83,136200
Min-jung Kim,-1,0,1303500
Aishwarya Gupta,-1,0,1359000
Isabella Peterson,-1,0,2120100
Elizabeth Bennett,-1,-74,250800
Samira Khalid,Christopher Foster,-97,301800
Rohan Gupta,Ellie Price,-95,2209200
Naledi Khumalo,Ella Phillips,-92,2290500
Benjamin Rocha,Amina Ali,-98,1409100
Martina Ramos,Zoey Morgan,-96,1525800
Zahra Mansour,-1,0,2013900
David Murphy,-1,-88,738600
Jack Morgan,Liam Thompson,-90,1006800
Safiya Dlamini,Isaac Rogers,-98,2121600
Julian Ferreira,Isabella Guzman,-82,1524900
Thiago Herrera,-1,0,266400
Sebastian Barbosa,Ella Phillips,-77,1587000
Isaiah Howard,-1,0,2389800
Igor Voronin,Sofia Soares,-62,2145000
Nadia Al-Hamadi,-1,-93,753900
Habiba Mansour,Chloe Rogers,-74,906900
Ryota Nakamura,Penelope Brooks,-92,894300
Karan Gupta,Kazuki Suzuki,-92,2037600
Irina Morozova,Emma Lima,-91,1991100
Musa Kamau,Alexander Hill,-92,307200
Yelena Voronina,-1,0,686700
Catalina Castro,-1,0,1482600
Lincoln Campbell,-1,0,878100
Natalia Voronova,-1,0,573300
Camila Almeida,-1,0,1217100
Khadija Issa,Samira Khalid,-83,894900
Malik Nwosu,-1,0,1572900
Ariana Jenkins,-1,-93,648900
Emiliano Costa,-1,0,285600
Samira Khalid,Tetsuya Ono,-48,1146600
Adrian Washington,Zoey Griffin,-91,1673100
Rohan Sharma,Aria Peterson,-92,2121000
Avery Young,-1,-67,911700
Nora Howard,James Foster,-99,1347900
Isaac Adams,-1,0,1162800
Layla Al-Khouri,-1,0,177000
Ignacio Silva,Valentina Torres,-90,218100
Sebastian Paz,-1,0,191700
Ahmed Al-Rashidi,Ayako Tanaka,-65,1308600
Julian Ferreira,-1,-90,1803900
Amara Bello,Kazuki Suzuki,-77,1038900
Yana Orlova,-1,0,2132400
Martina Oliveira,Sakura Suzuki,-70,1948200
